seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
50,S100W54B,E06748,,2010001049257,大和アセットマネジメント株式会社,G13041,030,07A000,120,2024-10-17,2025-04-16,2025-07-09 09:23,有価証券報告書（内国投資信託受益証券）－第13期(2024/10/17－2025/04/16),,,,,,,0,0,0,1,1,1,0,1,1
51,S100WBF1,E40824,,,松丸　敦之,,060,010000,350,,,2025-07-09 09:25,大量保有報告書,E40715,,,,,,0,0,0,1,1,1,0,1,1
52,S100W54G,E06748,,2010001049257,大和アセットマネジメント株式会社,G13041,030,04A000,030,,,2025-07-09 09:28,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
53,S100WAJT,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11297,030,04A001,040,,,2025-07-09 09:28,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100VJBD,,0,0,0,1,1,1,0,1,1
54,S100WBXA,E02835,74760,8120001060544,アズワン株式会社,,010,170000,220,,,2025-07-09 09:31,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
55,S100WBYY,E00984,45680,1010001095640,第一三共株式会社,,010,170000,220,,,2025-07-09 09:32,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
56,S100W5ZJ,E06748,,2010001049257,大和アセットマネジメント株式会社,G15344,030,10A000,160,2024-10-17,2025-10-16,2025-07-09 09:33,半期報告書（内国投資信託受益証券）－第1期(2024/10/17－2025/10/16),,,,,,,0,0,0,1,1,0,0,1,1
57,S100W60F,E06748,,2010001049257,大和アセットマネジメント株式会社,G15344,030,04A001,040,,,2025-07-09 09:37,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100UG5D,,0,0,0,1,1,1,0,1,1
58,S100WBYI,E22440,31510,4010901024332,株式会社バイタルケーエスケー・ホールディングス,,010,030001,130,,,2025-07-09 09:40,訂正有価証券報告書－第16期(2024/04/01－2025/03/31),,,,,S100W0QI,,0,0,0,1,1,0,0,1,1
59,S100WBZA,E22440,31510,4010901024332,株式会社バイタルケーエスケー・ホールディングス,,010,042100,135,,,2025-07-09 09:52,確認書,,,,,S100WBYI,,0,0,0,0,1,0,0,0,1
60,S100WBVX,E05607,34540,1010001086441,ファーストブラザーズ株式会社,,010,043A00,160,2024-12-01,2025-11-30,2025-07-09 09:59,半期報告書－第22期(2024/12/01－2025/11/30),,,,,,,0,0,0,1,1,0,0,1,1
61,S100WBZE,E05607,34540,1010001086441,ファーストブラザーズ株式会社,,010,042000,135,,,2025-07-09 10:00,確認書,,,,,,,0,0,0,0,1,0,0,0,1
62,S100WBXP,E11408,,9010401039322,モバイル・インターネットキャピタル株式会社,,060,010002,350,,,2025-07-09 10:05,変更報告書,E40189,,,,,,0,0,0,1,1,0,0,1,1
63,S100WBXG,E00424,25900,2120001083154,ダイドーグループホールディングス株式会社,,010,120003,100,,,2025-07-09 10:06,発行登録追補書類（株券､社債券等）,,,,,S100RWXQ,,0,0,0,1,1,1,0,1,1
64,S100VY90,E11764,,1010401064261,Ｔ＆Ｄアセットマネジメント株式会社,G14107,030,07A000,120,2024-04-12,2025-04-11,2025-07-09 10:06,有価証券報告書（内国投資信託受益証券）－第4期(2024/04/12－2025/04/11),,,,,,,0,0,0,1,1,1,0,1,1
65,S100VY91,E11764,,1010401064261,Ｔ＆Ｄアセットマネジメント株式会社,G14107,030,04A000,030,,,2025-07-09 10:06,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
66,S100WB8C,E23262,,5010901022038,カタリスト株式会社,,060,010002,350,,,2025-07-09 10:08,変更報告書,E25686,,,,,,0,0,0,1,1,1,0,1,1
