要素ID,項目名,コンテキストID,相対年度,連結・個別,期間・時点,ユニットID,単位,値
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,Prior4YearDuration_NonConsolidatedMember,四期前,その他,期間,JPY,円,22480000000
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,Prior3YearDuration_NonConsolidatedMember,三期前,その他,期間,JPY,円,39996000000
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,Prior2YearDuration_NonConsolidatedMember,前々期,その他,期間,JPY,円,45796000000
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,Prior1YearDuration_NonConsolidatedMember,前期,その他,期間,JPY,円,42302000000
jpcrp_cor:NetIncomeLossSummaryOfBusinessResults,当期純利益又は当期純損失（△）、経営指標等,Prior4YearDuration_NonConsolidatedMember,四期前,その他,期間,JPY,円,15589000000
jpcrp_cor:NetIncomeLossSummaryOfBusinessResults,当期純利益又は当期純損失（△）、経営指標等,Prior3YearDuration_NonConsolidatedMember,三期前,その他,期間,JPY,円,27706000000
jpcrp_cor:NetIncomeLossSummaryOfBusinessResults,当期純利益又は当期純損失（△）、経営指標等,Prior2YearDuration_NonConsolidatedMember,前々期,その他,期間,JPY,円,32053000000
jpcrp_cor:NetIncomeLossSummaryOfBusinessResults,当期純利益又は当期純損失（△）、経営指標等,Prior1YearDuration_NonConsolidatedMember,前期,その他,期間,JPY,円,29423000000
jpcrp_cor:CapitalStockSummaryOfBusinessResults,資本金、経営指標等,Prior4YearInstant_NonConsolidatedMember,四期前時点,その他,時点,JPY,円,16500000000
jpcrp_cor:CapitalStockSummaryOfBusinessResults,資本金、経営指標等,Prior3YearInstant_NonConsolidatedMember,三期前時点,その他,時点,JPY,円,16500000000
jpcrp_cor:CapitalStockSummaryOfBusinessResults,資本金、経営指標等,Prior2YearInstant_NonConsolidatedMember,前々期末,その他,時点,JPY,円,16500000000
jpcrp_cor:CapitalStockSummaryOfBusinessResults,資本金、経営指標等,Prior1YearInstant_NonConsolidatedMember,前期末,その他,時点,JPY,円,16500000000
jpcrp_cor:TotalNumberOfIssuedSharesSummaryOfBusinessResults,発行済株式総数（普通株式）、経営指標等,Prior4YearInstant_NonConsolidatedMember,四期前時点,その他,時点,shares,,187500
jpcrp_cor:TotalNumberOfIssuedSharesSummaryOfBusinessResults,発行済株式総数（普通株式）、経営指標等,Prior3YearInstant_NonConsolidatedMember,三期前時点,その他,時点,shares,,187500
jpcrp_cor:TotalNumberOfIssuedSharesSummaryOfBusinessResults,発行済株式総数（普通株式）、経営指標等,Prior2YearInstant_NonConsolidatedMember,前々期末,その他,時点,shares,,187500
jpcrp_cor:TotalNumberOfIssuedSharesSummaryOfBusinessResults,発行済株式総数（普通株式）、経営指標等,Prior1YearInstant_NonConsolidatedMember,前期末,その他,時点,shares,,187500
jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,Prior4YearInstant_NonConsolidatedMember,四期前時点,その他,時点,JPY,円,221394000000
jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,Prior3YearInstant_NonConsolidatedMember,三期前時点,その他,時点,JPY,円,242656000000
jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,Prior2YearInstant_NonConsolidatedMember,前々期末,その他,時点,JPY,円,265708000000
jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,Prior1YearInstant_NonConsolidatedMember,前期末,その他,時点,JPY,円,288267000000
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,Prior4YearInstant_NonConsolidatedMember,四期前時点,その他,時点,JPY,円,1975587000000
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,Prior3YearInstant_NonConsolidatedMember,三期前時点,その他,時点,JPY,円,2005917000000
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,Prior2YearInstant_NonConsolidatedMember,前々期末,その他,時点,JPY,円,2199050000000
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,Prior1YearInstant_NonConsolidatedMember,前期末,その他,時点,JPY,円,2805445000000
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,Prior4YearInstant_NonConsolidatedMember,四期前時点,その他,時点,JPYPerShares,,1180771.75
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,Prior3YearInstant_NonConsolidatedMember,三期前時点,その他,時点,JPYPerShares,,1294165.91
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,Prior2YearInstant_NonConsolidatedMember,前々期末,その他,時点,JPYPerShares,,1417112.58
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,Prior1YearInstant_NonConsolidatedMember,前期末,その他,時点,JPYPerShares,,1537427.09
jpcrp_cor:DividendPaidPerShareSummaryOfBusinessResults,１株当たり配当額、経営指標等,Prior4YearDuration_NonConsolidatedMember,四期前,その他,期間,JPYPerShares,,24900.00
jpcrp_cor:DividendPaidPerShareSummaryOfBusinessResults,１株当たり配当額、経営指標等,Prior3YearDuration_NonConsolidatedMember,三期前,その他,期間,JPYPerShares,,44300.00
jpcrp_cor:DividendPaidPerShareSummaryOfBusinessResults,１株当たり配当額、経営指標等,Prior2YearDuration_NonConsolidatedMember,前々期,その他,期間,JPYPerShares,,35900.00
jpcrp_cor:DividendPaidPerShareSummaryOfBusinessResults,１株当たり配当額、経営指標等,Prior1YearDuration_NonConsolidatedMember,前期,その他,期間,JPYPerShares,,47000.00
jpcrp_cor:InterimDividendPaidPerShareSummaryOfBusinessResults,１株当たり中間配当額、経営指標等,Prior4YearDuration_NonConsolidatedMember,四期前,その他,期間,JPYPerShares,,－
jpcrp_cor:InterimDividendPaidPerShareSummaryOfBusinessResults,１株当たり中間配当額、経営指標等,Prior3YearDuration_NonConsolidatedMember,三期前,その他,期間,JPYPerShares,,－
jpcrp_cor:InterimDividendPaidPerShareSummaryOfBusinessResults,１株当たり中間配当額、経営指標等,Prior2YearDuration_NonConsolidatedMember,前々期,その他,期間,JPYPerShares,,－
jpcrp_cor:InterimDividendPaidPerShareSummaryOfBusinessResults,１株当たり中間配当額、経営指標等,Prior1YearDuration_NonConsolidatedMember,前期,その他,期間,JPYPerShares,,－
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,Prior4YearDuration_NonConsolidatedMember,四期前,その他,期間,JPYPerShares,,83144.93
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,Prior3YearDuration_NonConsolidatedMember,三期前,その他,期間,JPYPerShares,,147769.59
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,Prior2YearDuration_NonConsolidatedMember,前々期,その他,期間,JPYPerShares,,170952.55
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,Prior1YearDuration_NonConsolidatedMember,前期,その他,期間,JPYPerShares,,156925.45
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,潜在株式調整後１株当たり当期純利益、経営指標等,Prior4YearDuration_NonConsolidatedMember,四期前,その他,期間,JPYPerShares,,－
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,潜在株式調整後１株当たり当期純利益、経営指標等,Prior3YearDuration_NonConsolidatedMember,三期前,その他,期間,JPYPerShares,,－
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,潜在株式調整後１株当たり当期純利益、経営指標等,Prior2YearDuration_NonConsolidatedMember,前々期,その他,期間,JPYPerShares,,－
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,潜在株式調整後１株当たり当期純利益、経営指標等,Prior1YearDuration_NonConsolidatedMember,前期,その他,期間,JPYPerShares,,－
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,自己資本比率、経営指標等,Prior4YearInstant_NonConsolidatedMember,四期前時点,その他,時点,pure,,0.1121
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,自己資本比率、経営指標等,Prior3YearInstant_NonConsolidatedMember,三期前時点,その他,時点,pure,,0.1210
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,自己資本比率、経営指標等,Prior2YearInstant_NonConsolidatedMember,前々期末,その他,時点,pure,,0.1208
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,自己資本比率、経営指標等,Prior1YearInstant_NonConsolidatedMember,前期末,その他,時点,pure,,0.1028
jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,自己資本利益率、経営指標等,Prior4YearDuration_NonConsolidatedMember,四期前,その他,期間,pure,,0.0720
jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,自己資本利益率、経営指標等,Prior3YearDuration_NonConsolidatedMember,三期前,その他,期間,pure,,0.1194
jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,自己資本利益率、経営指標等,Prior2YearDuration_NonConsolidatedMember,前々期,その他,期間,pure,,0.1261
jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,自己資本利益率、経営指標等,Prior1YearDuration_NonConsolidatedMember,前期,その他,期間,pure,,0.1062
jpcrp_cor:PriceEarningsRatioSummaryOfBusinessResults,株価収益率、経営指標等,Prior4YearDuration_NonConsolidatedMember,四期前,その他,期間,pure,,－
jpcrp_cor:PriceEarningsRatioSummaryOfBusinessResults,株価収益率、経営指標等,Prior3YearDuration_NonConsolidatedMember,三期前,その他,期間,pure,,－
jpcrp_cor:PriceEarningsRatioSummaryOfBusinessResults,株価収益率、経営指標等,Prior2YearDuration_NonConsolidatedMember,前々期,その他,期間,pure,,－
jpcrp_cor:PriceEarningsRatioSummaryOfBusinessResults,株価収益率、経営指標等,Prior1YearDuration_NonConsolidatedMember,前期,その他,期間,pure,,－
jpcrp_cor:PayoutRatioSummaryOfBusinessResults,配当性向、経営指標等,Prior4YearDuration_NonConsolidatedMember,四期前,その他,期間,pure,,0.2995
jpcrp_cor:PayoutRatioSummaryOfBusinessResults,配当性向、経営指標等,Prior3YearDuration_NonConsolidatedMember,三期前,その他,期間,pure,,0.2998
jpcrp_cor:PayoutRatioSummaryOfBusinessResults,配当性向、経営指標等,Prior2YearDuration_NonConsolidatedMember,前々期,その他,期間,pure,,0.2100
jpcrp_cor:PayoutRatioSummaryOfBusinessResults,配当性向、経営指標等,Prior1YearDuration_NonConsolidatedMember,前期,その他,期間,pure,,0.2995
jpcrp_cor:NumberOfEmployees,従業員数,Prior4YearInstant_NonConsolidatedMember,四期前時点,その他,時点,pure,,1973
jpcrp_cor:NumberOfEmployees,従業員数,Prior3YearInstant_NonConsolidatedMember,三期前時点,その他,時点,pure,,1928
jpcrp_cor:NumberOfEmployees,従業員数,Prior2YearInstant_NonConsolidatedMember,前々期末,その他,時点,pure,,1928
jpcrp_cor:NumberOfEmployees,従業員数,Prior1YearInstant_NonConsolidatedMember,前期末,その他,時点,pure,,1886
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,Prior4YearInstant_NonConsolidatedMember,四期前時点,その他,時点,pure,,285
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,Prior3YearInstant_NonConsolidatedMember,三期前時点,その他,時点,pure,,247
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,Prior2YearInstant_NonConsolidatedMember,前々期末,その他,時点,pure,,277
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,Prior1YearInstant_NonConsolidatedMember,前期末,その他,時点,pure,,316
jpcrp_cor:TotalShareholderReturn,株主総利回り,Prior4YearInstant_NonConsolidatedMember,四期前時点,その他,時点,pure,,－
jpcrp_cor:TotalShareholderReturn,株主総利回り,Prior3YearInstant_NonConsolidatedMember,三期前時点,その他,時点,pure,,－
jpcrp_cor:TotalShareholderReturn,株主総利回り,Prior2YearInstant_NonConsolidatedMember,前々期末,その他,時点,pure,,－
jpcrp_cor:TotalShareholderReturn,株主総利回り,Prior1YearInstant_NonConsolidatedMember,前期末,その他,時点,pure,,－
jpcrp_cor:TotalReturnOnSharePriceIndex,株価指数における総利回り,Prior4YearInstant_NonConsolidatedMember,四期前時点,その他,時点,pure,,－
jpcrp_cor:TotalReturnOnSharePriceIndex,株価指数における総利回り,Prior3YearInstant_NonConsolidatedMember,三期前時点,その他,時点,pure,,－
jpcrp_cor:TotalReturnOnSharePriceIndex,株価指数における総利回り,Prior2YearInstant_NonConsolidatedMember,前々期末,その他,時点,pure,,－
jpcrp_cor:TotalReturnOnSharePriceIndex,株価指数における総利回り,Prior1YearInstant_NonConsolidatedMember,前期末,その他,時点,pure,,－
jppfs_cor:CashAndDeposits,現金及び預金,Prior1YearInstant,前期末,連結,時点,JPY,円,370303000000
jppfs_cor:AccountsReceivableOperatingLoansCASPF,営業貸付金、流動資産、特定金融業,Prior1YearInstant,前期末,連結,時点,JPY,円,747375000000
jppfs_cor:AccountsReceivableInstallment,割賦売掛金,Prior1YearInstant,前期末,連結,時点,JPY,円,1381817000000
jppfs_cor:LeaseReceivablesAndInvestmentAssetsCA,リース債権及びリース投資資産、流動資産,Prior1YearInstant,前期末,連結,時点,JPY,円,209821000000
jppfs_cor:Supplies,貯蔵品,Prior1YearInstant,前期末,連結,時点,JPY,円,844000000
jppfs_cor:OtherCA,その他、流動資産,Prior1YearInstant,前期末,連結,時点,JPY,円,127368000000
jppfs_cor:AllowanceForDoubtfulAccountsCA,貸倒引当金、流動資産、一括控除,Prior1YearInstant,前期末,連結,時点,JPY,円,-16290000000
jppfs_cor:CurrentAssets,流動資産,Prior1YearInstant,前期末,連結,時点,JPY,円,2821241000000
