要素ID,項目名,コンテキストID,相対年度,連結・個別,期間・時点,ユニットID,単位,値
jppfs_cor:InsuranceIncomeNOI,受取保険金、営業外収益,Prior1YearDuration,前期,連結,期間,JPY,円,305000000
jppfs_cor:OtherNOI,その他、営業外収益,Prior1YearDuration,前期,連結,期間,JPY,円,416000000
jppfs_cor:NonOperatingIncome,営業外収益,Prior1YearDuration,前期,連結,期間,JPY,円,5136000000
jppfs_cor:InterestExpensesNOE,支払利息、営業外費用,Prior1YearDuration,前期,連結,期間,JPY,円,13331000000
jppfs_cor:LossOnValuationOfDerivativesNOE,デリバティブ評価損、営業外費用,Prior1YearDuration,前期,連結,期間,JPY,円,－
jppfs_cor:OtherNOE,その他、営業外費用,Prior1YearDuration,前期,連結,期間,JPY,円,1129000000
jppfs_cor:NonOperatingExpenses,営業外費用,Prior1YearDuration,前期,連結,期間,JPY,円,14461000000
jppfs_cor:OrdinaryIncome,経常利益又は経常損失（△）,Prior1YearDuration,前期,連結,期間,JPY,円,37086000000
jppfs_cor:GainOnSalesOfNoncurrentAssetsEI,固定資産売却益、特別利益,Prior1YearDuration,前期,連結,期間,JPY,円,2009000000
jppfs_cor:GainOnSalesOfInvestmentSecuritiesEI,投資有価証券売却益、特別利益,Prior1YearDuration,前期,連結,期間,JPY,円,938000000
jpcrp030000-asr_E04002-000:LeaseContractChangeProfitEI,,Prior1YearDuration,前期,その他,期間,JPY,円,－
jppfs_cor:ExtraordinaryIncome,特別利益,Prior1YearDuration,前期,連結,期間,JPY,円,2948000000
jppfs_cor:LossOnSalesOfNoncurrentAssetsEL,固定資産売却損、特別損失,Prior1YearDuration,前期,連結,期間,JPY,円,4000000
jppfs_cor:LossOnRetirementOfNoncurrentAssetsEL,固定資産除却損、特別損失,Prior1YearDuration,前期,連結,期間,JPY,円,951000000
jppfs_cor:ImpairmentLossEL,減損損失、特別損失,Prior1YearDuration,前期,連結,期間,JPY,円,1960000000
jppfs_cor:ProvisionForLossOnStoreClosingEL,店舗閉鎖損失引当金繰入額、特別損失,Prior1YearDuration,前期,連結,期間,JPY,円,650000000
jppfs_cor:OtherEL,その他、特別損失,Prior1YearDuration,前期,連結,期間,JPY,円,94000000
jppfs_cor:ExtraordinaryLoss,特別損失,Prior1YearDuration,前期,連結,期間,JPY,円,3660000000
jppfs_cor:IncomeBeforeIncomeTaxes,税引前当期純利益又は税引前当期純損失（△）,Prior1YearDuration,前期,連結,期間,JPY,円,36374000000
jppfs_cor:IncomeTaxesCurrent,法人税、住民税及び事業税,Prior1YearDuration,前期,連結,期間,JPY,円,17054000000
jppfs_cor:IncomeTaxesDeferred,法人税等調整額,Prior1YearDuration,前期,連結,期間,JPY,円,-1220000000
jppfs_cor:IncomeTaxes,法人税等,Prior1YearDuration,前期,連結,期間,JPY,円,15834000000
jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Prior1YearDuration,前期,連結,期間,JPY,円,20540000000
jppfs_cor:ProfitLossAttributableToNonControllingInterests,非支配株主に帰属する当期純利益又は非支配株主に帰属する当期純損失（△）,Prior1YearDuration,前期,連結,期間,JPY,円,140000000
jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Prior1YearDuration,前期,連結,期間,JPY,円,20399000000
jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Prior1YearDuration,前期,連結,期間,JPY,円,20540000000
jppfs_cor:ValuationDifferenceOnAvailableForSaleSecuritiesNetOfTaxOCI,その他有価証券評価差額金（税引後）、その他の包括利益,Prior1YearDuration,前期,連結,期間,JPY,円,-356000000
jppfs_cor:ForeignCurrencyTranslationAdjustmentNetOfTaxOCI,為替換算調整勘定（税引後）、その他の包括利益,Prior1YearDuration,前期,連結,期間,JPY,円,15432000000
jppfs_cor:RemeasurementsOfDefinedBenefitPlansNetOfTaxOCI,退職給付に係る調整額（税引後）、その他の包括利益,Prior1YearDuration,前期,連結,期間,JPY,円,410000000
jppfs_cor:ShareOfOtherComprehensiveIncomeOfAssociatesAccountedForUsingEquityMethodOCI,持分法適用会社に対する持分相当額、その他の包括利益,Prior1YearDuration,前期,連結,期間,JPY,円,－
jppfs_cor:OtherComprehensiveIncome,その他の包括利益,Prior1YearDuration,前期,連結,期間,JPY,円,15486000000
jppfs_cor:ComprehensiveIncome,包括利益,Prior1YearDuration,前期,連結,期間,JPY,円,36026000000
jppfs_cor:ComprehensiveIncomeAttributableToOwnersOfTheParent,親会社株主に係る包括利益、包括利益,Prior1YearDuration,前期,連結,期間,JPY,円,35172000000
jppfs_cor:ComprehensiveIncomeAttributableToNonControllingInterests,非支配株主に係る包括利益、包括利益,Prior1YearDuration,前期,連結,期間,JPY,円,853000000
jppfs_cor:NetAssets,純資産,Prior2YearInstant_CapitalStockMember,前々期末,連結,時点,JPY,円,42381000000
jppfs_cor:NetAssets,純資産,Prior2YearInstant_CapitalSurplusMember,前々期末,連結,時点,JPY,円,40700000000
jppfs_cor:NetAssets,純資産,Prior2YearInstant_RetainedEarningsMember,前々期末,連結,時点,JPY,円,317279000000
jppfs_cor:NetAssets,純資産,Prior2YearInstant_TreasuryStockMember,前々期末,連結,時点,JPY,円,-7000000
jppfs_cor:NetAssets,純資産,Prior2YearInstant_ShareholdersEquityMember,前々期末,連結,時点,JPY,円,400353000000
jppfs_cor:IssuanceOfNewShares,新株の発行,Prior1YearDuration_CapitalStockMember,前期,連結,期間,JPY,円,1000000
jppfs_cor:IssuanceOfNewShares,新株の発行,Prior1YearDuration_CapitalSurplusMember,前期,連結,期間,JPY,円,1000000
jppfs_cor:IssuanceOfNewShares,新株の発行,Prior1YearDuration_ShareholdersEquityMember,前期,連結,期間,JPY,円,2000000
